painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,coordinate_location
http://www.wikidata.org/entity/Q610202,Jules Chéret,1836-05-31T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A9ret%2C%20Jules%2C%20Nadar%2C%20Gallica.jpg,http://www.wikidata.org/entity/Q15149908,former 11th arrondissement of Paris,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(2.332578 48.850555)
http://www.wikidata.org/entity/Q161145,Horace Vernet,1789-06-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Horace%20Vernet%20Adrien%20Nadar%201858.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q6682,Gustave Doré,1832-01-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Photograph%20of%20Gustave%20Dor%C3%A9%20by%20Nadar%2C%20between%201856%20and%201858.jpg,http://www.wikidata.org/entity/Q6602,Strasbourg,http://www.wikidata.org/entity/Q37068,Romanticism,Point(7.752222222 48.573333333)
http://www.wikidata.org/entity/Q124535760,Victor Charlier-Teutsch,1866-06-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Charlier-Teutsch.jpg,http://www.wikidata.org/entity/Q22741,Saverne,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(7.361944444 48.741388888)
http://www.wikidata.org/entity/Q184212,Théodore Géricault,1791-09-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Horace%20Vernet%2C%20Jean-Louis-Andr%C3%A9-Th%C3%A9odore%20Gericault%2C%20probably%201822%20or%201823%2C%201998.84%2C%20MET.jpg,http://www.wikidata.org/entity/Q30974,Rouen,http://www.wikidata.org/entity/Q37068,Romanticism,Point(1.1025 49.443055555)
http://www.wikidata.org/entity/Q182791,Jean-Baptiste Carpeaux,1827-05-11T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Carpeaux%20self-portrait%20-%20Fontaine%202000%20p25.jpg,http://www.wikidata.org/entity/Q163795,Valenciennes,http://www.wikidata.org/entity/Q37068,Romanticism,Point(3.523333333 50.358055555)
http://www.wikidata.org/entity/Q23380,Jean-Auguste-Dominique Ingres,1780-08-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ingres%2C%20Self-portrait.jpg,http://www.wikidata.org/entity/Q172593,Montauban,http://www.wikidata.org/entity/Q37068,Romanticism,Point(1.355 44.017222222)
http://www.wikidata.org/entity/Q183713,Théophile Gautier,1811-08-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile%20Gautier%20by%20Nadar.png,http://www.wikidata.org/entity/Q184023,Tarbes,http://www.wikidata.org/entity/Q37068,Romanticism,Point(0.074444444 43.232777777)
http://www.wikidata.org/entity/Q33477,Eugène Delacroix,1798-04-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delacroix%20-%20Portrait%20de%20l%27artiste%20%28ca.1837%29.jpg,http://www.wikidata.org/entity/Q274327,Saint-Maurice,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.434722222 48.818333333)
http://www.wikidata.org/entity/Q271676,Charles Le Brun,1619-02-24T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20brun.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37853,Baroque,Point(2.352222222 48.856666666)
